x,y,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
75.0,75.0,0.003894280409440398,6.115897849667817e-05,0.0005464513087645173,4.913806697004475e-05,6.091120667406358e-06,0.00016927164688240737,0.0003561573685146868,0.9949175119400024
75.0,225.0,0.00640470627695322,0.00018906130571849644,0.0017579708946868777,4.859609907725826e-05,8.883348527888302e-06,0.00018151650147046894,0.0005724974325858057,0.9908368587493896
75.0,375.0,0.0270395427942276,0.001541097299195826,0.0027460078708827496,0.00010491220746189356,3.974540231865831e-05,0.0007372134714387357,0.0009575527510605752,0.9668340682983398
75.0,525.0,0.004459220916032791,0.022633355110883713,0.021174389868974686,0.0013187120202928782,0.0005104614538140595,0.0006285714916884899,0.02159014344215393,0.9276852607727051
75.0,675.0,0.010115080513060093,0.004254063591361046,0.00039326283149421215,0.00032687396742403507,0.0003528246015775949,0.0054494948126375675,0.04414556920528412,0.9349626898765564
75.0,825.0,0.00028187784482724965,0.0035271113738417625,0.0003034522815141827,0.0015855253441259265,0.005933793727308512,0.0002636756107676774,0.0002888358139898628,0.9878156781196594
75.0,975.0,0.002562343142926693,0.3980713486671448,0.06514335423707962,0.1674593687057495,0.0030026803724467754,0.00036251754499971867,0.0011139762355014682,0.36228445172309875
75.0,1125.0,0.00040872389217838645,0.4691370725631714,0.33706414699554443,0.18139620125293732,0.0001392393751302734,5.077894820715301e-05,0.002008490264415741,0.009795372374355793
75.0,1275.0,0.00017364976520184427,0.24641945958137512,0.39079737663269043,0.35774222016334534,5.981562935630791e-05,1.49259094541776e-05,0.0005319244810380042,0.004260573536157608
75.0,1425.0,0.0025978663470596075,0.40186014771461487,0.5769984126091003,0.01515156403183937,0.00036952499067410827,2.629314985824749e-05,0.0015487120253965259,0.0014474374474957585
75.0,1575.0,0.0007701466092839837,0.42786744236946106,0.12962298095226288,0.43268194794654846,0.0003933998814318329,0.0002862328547053039,0.0034859366714954376,0.00489194318652153
75.0,1725.0,0.0004225723969284445,0.24937455356121063,0.6445490717887878,0.10073423385620117,4.829145836993121e-06,5.480583695316454e-06,0.0005791999865323305,0.004330065567046404
75.0,1875.0,6.213798769749701e-05,0.1704651117324829,0.8248584270477295,0.0040375953540205956,5.740136543863628e-07,5.35979779670015e-07,0.00017149210907518864,0.0004040998755954206
75.0,2025.0,0.0014993400545790792,0.13385051488876343,0.8195559978485107,0.03601612523198128,1.1820746294688433e-05,3.977050073444843e-05,0.000515494029968977,0.008510947227478027
75.0,2175.0,0.0017921853577718139,0.5216326117515564,0.22507037222385406,0.21503452956676483,0.00032750930404290557,0.00017462680989410728,0.010042325593531132,0.025925884023308754
75.0,2325.0,0.00010623857815517113,0.5652748942375183,0.23468735814094543,0.1957036852836609,0.00013958063209429383,7.715102401562035e-05,0.0010697843972593546,0.0029413404408842325
75.0,2475.0,0.0004086111730430275,0.6265742778778076,0.2747154235839844,0.09243328869342804,5.3006431699031964e-05,3.963862400269136e-05,0.0022649813909083605,0.003510779934003949
75.0,2625.0,0.0001329516526311636,0.4487120807170868,0.1716824471950531,0.3738785982131958,2.1668643967132084e-05,2.779301576083526e-05,0.00033631041878834367,0.005208102986216545
75.0,2775.0,9.651615255279467e-05,0.15748988091945648,0.8294386267662048,0.011380091309547424,1.4696065591124352e-05,2.2895219444762915e-06,0.0013772662496194243,0.00020060136739630252
75.0,2925.0,0.00045004289131611586,0.2417520433664322,0.14657634496688843,0.5986103415489197,3.5678749554790556e-05,4.695231109508313e-05,0.0011473976774141192,0.011381195858120918
75.0,3075.0,0.00015123221965041012,0.5228959321975708,0.45356863737106323,0.020239893347024918,8.8928070908878e-05,2.8066646336810663e-05,0.000522286631166935,0.0025050148833543062
75.0,3225.0,0.00011725662625394762,0.4693829417228699,0.3690699636936188,0.1571931540966034,3.6057437682757154e-05,1.7559337720740587e-05,0.0008854494080878794,0.003297642804682255
75.0,3375.0,3.568700049072504e-05,0.5604868531227112,0.40088728070259094,0.03757661208510399,1.5905457075859886e-06,2.1711114186473424e-06,0.00010581858077785,0.0009041088633239269
75.0,3525.0,0.0017231509555131197,0.7736733555793762,0.12497617304325104,0.07254468649625778,0.0004719824355561286,0.00014753684808965772,0.003425084985792637,0.02303796075284481
75.0,3675.0,0.011572908610105515,0.3335112929344177,0.4095674455165863,0.14968320727348328,0.007324224803596735,0.002029384020715952,0.012699885293841362,0.07361172139644623
75.0,3825.0,0.0005645954515784979,0.6720687747001648,0.17287901043891907,0.06117899343371391,0.000989888096228242,0.0003978647000622004,0.020827241241931915,0.07109368592500687
75.0,3975.0,0.00015717174392193556,0.6065050363540649,0.3627983033657074,0.010831822641193867,6.832560757175088e-05,3.8594327634200454e-05,0.0005676794680766761,0.01903308928012848
75.0,4125.0,0.0010274897795170546,0.4878203272819519,0.17448796331882477,0.28182968497276306,0.0008761517237871885,0.0001506039552623406,0.003449848620221019,0.05035790428519249
