,name,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
0,W10,19976,10827,24904,18603,4273,556,42,13067
1,W11,34657,6194,6609,48657,11,404,75,17067
2,W12,19391,1272,0,96496,1349,546,79,18475
3,W13,17334,14969,21323,49279,421,0,29,14139
4,W16,27373,3790,3324,28318,1,233,33,8479
5,W18,0,9776,2291,10455,17,0,0,3069
6,W19,4178,497,0,37114,94,1439,27,9418
7,W2,25772,29036,23480,18311,21,728,42,19793
8,W20,1358,26311,5018,37106,34,255,3,4465
9,W21,19964,4091,1402,54574,303,733,41,9253
10,W22,20895,17630,9299,61962,29,118,34,10727
11,W26,6390,15351,0,42002,2,490,23,11456
12,W27,6483,6597,209,41690,10,1030,43,6378
13,W28,9568,20101,2088,18072,82,416,9,5346
14,W29,21881,1368,0,28088,93,433,37,4005
15,W3,46372,0,0,37212,255,498,69,18173
16,W30,1315,4134,9185,71029,97,0,9,8725
17,W31,5229,18469,13971,18998,275,0,53,7835
18,W32,13067,77,172,24972,18,3324,42,2746
19,W33,10408,12132,3043,34288,105,146,14,10173
20,W34,34509,1555,5658,11973,29,115,25,8697
21,W35,0,0,0,77028,0,0,0,3102
22,W36,40015,1116,13256,11076,56,233,24,9269
23,W38,10084,3662,10390,16552,1807,223,29,5771
24,W4,7558,20414,12750,53700,17,0,2,11958
25,W40,33068,537,0,18716,102,132,97,9687
26,W42,2483,22034,878,37218,573,0,42,7050
27,W43,15442,7230,6469,24068,40,510,66,12280
28,W45,61,9329,772,50842,0,76,1,11149
29,W48,28775,7301,188,21884,70,907,6,9830
30,W5,31325,18834,37221,42125,84,1014,40,12764
31,W6,10293,32345,15172,15322,511,401,10,11359
32,W7,21523,7913,0,28860,117,36,52,11385
33,W8,16543,7034,5895,53982,5317,754,113,13529
34,W9,27090,2742,185,13962,1420,140,6,5814
