x,y,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
75.0,75.0,0.02039250172674656,0.0007730304496362805,0.00047408571117557585,0.00023334169236477464,0.0004002990899607539,7.159221422625706e-05,0.00032065092818811536,0.9773344397544861
75.0,225.0,0.020695706829428673,0.0007772460812702775,0.00043207278940826654,0.00023211620282381773,0.00040066667133942246,6.246721022762358e-05,0.00032025223481468856,0.977079451084137
75.0,375.0,0.01988321729004383,0.0007418559980578721,0.000411572284065187,0.0002209635713370517,0.00038937252247706056,6.0187838244019076e-05,0.0002990600769408047,0.9779938459396362
75.0,525.0,0.021279213950037956,0.0008004377014003694,0.0005053150816820562,0.0002430037420708686,0.00042469127220101655,7.327053026529029e-05,0.0003374781517777592,0.9763364791870117
75.0,675.0,0.02325628139078617,0.0009330621687695384,0.0005217110738158226,0.00028406086494214833,0.0005297517636790872,8.127930050250143e-05,0.00038802027120254934,0.9740058779716492
75.0,825.0,0.02346102148294449,0.000922541250474751,0.0005453930934891105,0.0002860932145267725,0.0005463926936499774,8.380561484955251e-05,0.00039653643034398556,0.9737582802772522
75.0,975.0,0.020242448896169662,0.0007217666716314852,0.00041093758773058653,0.00021629699040204287,0.00038510450394824147,5.544439045479521e-05,0.00029708349029533565,0.9776709079742432
75.0,1125.0,0.01898963935673237,0.0006631069700233638,0.0004121693782508373,0.0002251042315037921,0.0003658807836472988,6.752611807314679e-05,0.00028929297695867717,0.9789872765541077
75.0,1275.0,0.01986456848680973,0.000702406745404005,0.0004493866872508079,0.00022375320259016007,0.0003873223904520273,6.56284173601307e-05,0.0003034864494111389,0.9780033826828003
75.0,1425.0,0.019061049446463585,0.0006701863021589816,0.0004211202613078058,0.00021129846572875977,0.0003649085992947221,6.0524344007717445e-05,0.00028645366546697915,0.9789244532585144
75.0,1575.0,0.019739912822842598,0.0006952972617000341,0.00044107084977440536,0.00021561449102591723,0.0003568700049072504,6.329697498586029e-05,0.0002955919480882585,0.9781923890113831
75.0,1725.0,0.021374642848968506,0.0007674855878576636,0.0004600701795425266,0.00023318856256082654,0.00040427857311442494,5.936989327892661e-05,0.00031059724278748035,0.9763903617858887
75.0,1875.0,0.019856147468090057,0.0007165412534959614,0.00046643399400636554,0.00021922630548942834,0.00038052225136198103,6.253200263017789e-05,0.00030373543268069625,0.977994978427887
75.0,2025.0,0.01905999705195427,0.0006372992065735161,0.0004393520357552916,0.00020911409228574485,0.00033917257678695023,6.319279782474041e-05,0.00027385452995076776,0.9789779782295227
75.0,2175.0,0.020801229402422905,0.000793228333350271,0.00043992450810037553,0.00024845683947205544,0.0004292912781238556,6.902281165821478e-05,0.0003249264264013618,0.9768938422203064
75.0,2325.0,0.022623684257268906,0.000834858394227922,0.0004613894852809608,0.00024737181956879795,0.00045834810589440167,6.533624400617555e-05,0.00035145916626788676,0.9749577045440674
