x,y,CTne,IT,LE,CT,CTmvp,CTpan,CTpnz,BG
75.0,75.0,0.0011724275536835194,0.00014069968892727047,0.004785888362675905,0.00022613286273553967,3.701422974700108e-05,0.004158589523285627,0.022243835031986237,0.9672353863716125
75.0,225.0,0.0012082007015123963,2.3737860828987323e-05,0.000259450520388782,9.981334733311087e-05,1.1701820767484605e-05,0.0005868975422345102,0.0024114486295729876,0.9953988194465637
75.0,375.0,0.0017155882669612765,0.00035017376649193466,0.0061680893413722515,0.00030224889633245766,7.903168443590403e-05,0.0044816345907747746,0.02097361907362938,0.9659296274185181
75.0,525.0,0.0009417544351890683,3.670372097985819e-05,0.0011637202696874738,0.00013769956422038376,2.555760511313565e-05,0.0009753830381669104,0.003535839030519128,0.993183434009552
75.0,675.0,0.0009598620817996562,3.1010000384412706e-05,0.0009840922430157661,0.00010528112761676311,2.7613765269052237e-05,0.0009117380832321942,0.0065500931814312935,0.9904301762580872
75.0,825.0,0.0006006520125083625,5.611200322164223e-06,0.0001337424328085035,4.597834777086973e-05,3.2027837733039632e-06,0.00021635746816173196,0.001228307606652379,0.9977661371231079
75.0,975.0,0.0022419446613639593,0.0003331302432343364,0.008139909245073795,0.00022312442888505757,0.00019605086708907038,0.002454918809235096,0.02663465030491352,0.9597762823104858
75.0,1125.0,0.001279131742194295,0.0002298732433700934,0.008699588477611542,0.00020790145208593458,0.00018864097364712507,0.004729309119284153,0.020890144631266594,0.9637753367424011
75.0,1275.0,0.0017778135370463133,6.859512359369546e-05,0.0021414686925709248,0.0001248731859959662,1.6640011381241493e-05,0.0008720364421606064,0.00865101721137762,0.9863475561141968
75.0,1425.0,0.0009340077522210777,3.4823686291929334e-05,0.0009654961177147925,0.00012973375851288438,1.7353613657178357e-05,0.0008332837605848908,0.0060322219505906105,0.99105304479599
75.0,1575.0,0.0005633577238768339,2.1010976070101606e-06,5.3363786719273776e-05,1.989215706998948e-05,1.505562977399677e-06,3.779918552027084e-05,7.527718116762117e-05,0.9992467164993286
75.0,1725.0,0.0047731599770486355,0.00018872217333409935,0.005016591865569353,5.8701232774183154e-05,1.68798887898447e-05,0.00014130648924037814,0.002046768320724368,0.9877578020095825
75.0,1875.0,0.002572170225903392,0.00030506105395033956,0.015141609124839306,0.0001819035387597978,5.6527842389186844e-05,0.00446307472884655,0.043565183877944946,0.9337144494056702
75.0,2025.0,0.002483650343492627,0.00023456393682863563,0.010665852576494217,0.00010966156696667895,9.929959924193099e-05,0.0030762595124542713,0.01667104847729206,0.966659665107727
75.0,2175.0,0.0015321081737056375,0.00042275318992324173,0.02241368405520916,0.0002014874917222187,0.00012791749031748623,0.005499554332345724,0.026220159605145454,0.9435824155807495
75.0,2325.0,0.0022484504152089357,0.0003524089406710118,0.006860257592052221,0.00011039162200177088,9.77324671112001e-05,0.001178423292003572,0.007022243924438953,0.9821301102638245
75.0,2475.0,0.001977612031623721,0.0005973373772576451,0.026073366403579712,0.00022483462817035615,0.00016753828094806522,0.0035005719400942326,0.03359437733888626,0.9338642954826355
75.0,2625.0,0.0028082544449716806,5.2760329708689824e-05,0.0026905701961368322,9.141518967226148e-05,2.8982740332139656e-05,0.0007613128400407732,0.00792086124420166,0.9856458306312561
75.0,2775.0,0.0016157421050593257,0.00012949823576491326,0.005202219355851412,9.709316509542987e-05,2.7406709705246612e-05,0.001530430861748755,0.005700561683624983,0.9856970310211182
